trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
145,False,"{'a': 0.01, 'e': 0.23692775868212176}",30,12,15.900782185075,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.23457028809379765}",20,10,8.62569863623667,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.23223627472975883}",25,19,9.785604255200067,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.22992548518672384}",20,11,6.6149005772308485,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.22763768838381274}",25,8,32.94854279357731,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.22537265553943872}",30,9,24.944785033322695,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.22313016014842982}",25,0,-0.21909158460735156,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
152,False,"{'a': 0.01, 'e': 0.2209099779593782}",30,0,-21.778187704118093,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
153,False,"{'a': 0.01, 'e': 0.21871188695221475}",20,5,2.5094241698539252,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.21653566731600707}",20,2,16.071522968052363,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.21438110142697794}",20,13,10.456753710139287,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.21224797382674304}",25,6,5.5497492057926525,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.21013607120076472}",25,13,-0.8312093613662441,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
158,False,"{'a': 0.01, 'e': 0.20804518235702046}",30,4,-65.71184586816997,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 2}",1
159,False,"{'a': 0.01, 'e': 0.20597509820488344}",25,19,10.47215009212259,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.01, 'e': 0.20392561173421342}",20,9,20.15968852604042,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.01, 'e': 0.20189651799465538}",20,6,16.290409159661255,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.01, 'e': 0.1998876140751445}",20,0,18.541945971230984,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
163,False,"{'a': 0.01, 'e': 0.19789869908361465}",30,15,24.276997970417373,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.01, 'e': 0.19592957412690934}",25,0,22.368710044457735,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
165,False,"{'a': 0.01, 'e': 0.19398004229089189}",25,7,21.658895873740406,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.01, 'e': 0.19204990862075408}",20,16,4.200764052896406,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.01, 'e': 0.1901389801015205}",20,14,7.873592141662889,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.01, 'e': 0.1882470656387468}",20,10,15.300343083389018,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.01, 'e': 0.18637397603940997}",25,5,-29.57879748050059,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
170,False,"{'a': 0.01, 'e': 0.18451952399298926}",20,0,25.50029281536671,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
171,False,"{'a': 0.01, 'e': 0.18268352405273466}",20,9,8.660827220900732,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.01, 'e': 0.1808657926171221}",30,14,-17.64959967697518,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
173,False,"{'a': 0.01, 'e': 0.17906614791149322}",25,8,-12.147931269543161,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
174,False,"{'a': 0.01, 'e': 0.17728440996987782}",20,8,18.965713476076836,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.01, 'e': 0.17552040061699686}",25,17,4.911037250706254,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.01, 'e': 0.17377394345044514}",30,14,17.175941900802368,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.01, 'e': 0.17204486382305054}",20,8,9.62836223032015,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.01, 'e': 0.17033298882540943}",25,8,-64.31529060378001,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
179,False,"{'a': 0.01, 'e': 0.1686381472685955}",30,8,23.786980652972225,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
